preamble,status,dataID,timestamp,w_x,w_y,w_z,la_x,la_y,la_z,a_x,a_y,a_z,m_x,m_y,m_z,g_x,g_y,g_z,pressure,altitude,temperature,battery,co2,mp25,mp10,ozonio
JUPITERC,2,1,10089566,-0.19921875,-1.126953125,12.046875,7.71875,-27.21484375,-2.5078125,0.6953125,-26.97265625,11.5,20.6875,-8.375,23.875,-6.96875,0.28125,13.9921875,837.7609863,633.3028564,34.36424637,7.604638577,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10089586,-0.1640625,-1.271484375,12.05273438,8.45703125,-27.640625,-2.70703125,1.30859375,-27.46875,11.30859375,17.125,-15.25,21.375,-7.0859375,0.1953125,14,837.1930542,638.9414673,34.359375,7.597539425,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10089606,-0.26953125,-1.23046875,12.06640625,8.98046875,-27.91796875,-2.30859375,1.65234375,-28.4296875,11.34765625,13,-19.4375,20.9375,-7.203125,0.15625,14.0234375,836.6150513,644.6831055,34.35742569,7.592914581,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10089626,-0.234375,-1.138671875,12.13867188,9.03515625,-28.5625,-2.69921875,1.73046875,-29.08203125,11.73046875,6.1875,-22.5625,20.75,-7.3125,0.1328125,14.0390625,836.1201172,649.6004028,34.35323715,7.588248253,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10089646,-0.30078125,-1.16015625,12.21875,9.3515625,-29.984375,-2.6328125,1.84375,-29.84375,11.421875,0.25,-25.9375,21.875,-7.4453125,0.1484375,14.046875,835.5958252,654.8135986,34.35433578,7.583796501,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10089666,-0.1484375,-1.232421875,12.21289063,9.515625,-30.8125,-2.5234375,1.921875,-30.65234375,11.5390625,-6.9375,-24.5,20.5625,-7.546875,0.1484375,14.0546875,835.0875854,659.8709106,34.35045624,7.580041885,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10089686,-0.203125,-1.3359375,12.24804688,8.98828125,-31.16015625,-2.6640625,0.96484375,-31.61328125,11.3828125,-15.375,-22.1875,22.1875,-7.65625,0.125,14.0703125,834.5148926,665.572937,34.35426712,7.577167034,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10089706,-0.244140625,-1.232421875,12.06445313,8.76171875,-31.7421875,-2.7265625,7.17E-40,0.50390625,-32.21875,11.3828125,-20.25,-19.625,22.1875,-7.734375,0.1484375,14.1015625,833.8853149,671.8430786,34.35526276,7.582644939,267.2062378,249.4020691,249.6300507
JUPITERC,2,1,10089753,-0.1875,-1.3046875,11.9375,7.9140625,-31.41796875,-3.015625,-0.03125,-31.33984375,11.1171875,-26.25,-14.875,23.75,-7.8671875,0.09375,14.1171875,833.6674805,674.0123901,34.35859299,7.588331223,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10089773,-0.154296875,-1.50390625,11.74804688,9.13671875,-31.30078125,-3.37890625,1.65234375,-31.953125,11.15625,-36.125,3.5625,28.1875,-8.3125,-0.0078125,14.25,832.2509155,688.1379395,34.35671997,7.592944622,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10089793,-0.1875,-1.486328125,11.77148438,10.01953125,-31.953125,-3.125,1.99609375,-32.30078125,10.88671875,-34.1875,8.625,29.75,-8.4296875,-0.0078125,14.3125,831.6471558,694.164978,34.35503387,7.596844673,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10089813,-0.1484375,-1.37109375,11.85742188,10.49609375,-32.265625,-3.43359375,2.3046875,-32.33984375,11.34765625,-31.125,15.625,29.4375,-8.5546875,0.015625,14.34375,831.0487061,700.1417847,34.35351563,7.600354671,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10089833,-0.19140625,-1.58203125,12.0234375,10.890625,-32.3984375,-3.02734375,2.265625,-33.71484375,11,-30.25,22.0625,30.625,-8.609375,0.078125,14.40625,830.5071411,705.5531616,34.35214996,7.603765965,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10089853,-0.166015625,-1.4921875,12.33007813,10.90625,-33.83984375,-3.4375,1.8828125,-34.86328125,11.30859375,-24.875,26.6875,32.9375,-8.6640625,0.140625,14.4609375,829.9848022,710.7769775,34.34605789,7.607088089,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10089873,-0.1953125,-1.490234375,12.640625,10.5703125,-35.05859375,-3.17578125,0.50390625,-34.13671875,10.92578125,-19.3125,30.5,31.875,-8.71875,0.25,14.515625,829.3499756,717.1263428,34.34787369,7.609573841,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10089893,-0.228515625,-1.443359375,12.99804688,9.26953125,-34.38671875,-3.60546875,1.1953125,-36.05078125,11.0390625,-10.6875,31.75,31.8125,-8.7890625,0.359375,14.5625,828.6869507,723.7637329,34.3470726,7.611810684,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10089913,-0.2890625,-1.412109375,13.11523438,10.015625,-36.51171875,-3.546875,0.84765625,-36.28125,10.6171875,-3,29.875,31.25,-8.859375,0.5,14.6015625,828.1000977,729.6428223,34.34878922,7.614076138,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10089933,-0.267578125,-1.458984375,13.07617188,8.96484375,-37.265625,-3.72265625,-0.72265625,-36.28125,10.3125,2.4375,28.5,32.625,-8.9609375,0.609375,14.640625,827.5756226,734.8982544,34.34789658,7.61636734,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10089953,-0.318359375,-1.4609375,13.1640625,8.27734375,-37,-4.34375,-1.06640625,-36.7421875,10.54296875,8.1875,24.4375,30.6875,-9.0703125,0.765625,14.671875,827.0949097,739.7177734,34.34709549,7.617673397,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10089973,-0.3828125,-1.533203125,13.15234375,8.07421875,-37.53125,-4.14453125,-1.41015625,-37.01171875,10.38671875,15.9375,18.125,28.9375,-9.1875,0.890625,14.71875,826.5506592,745.1793823,34.339077,7.618848801,267.2062378,249.4020691,249.6300507,6.26587677
