# Time (s), Pressure (Pa), Az (m/s²), Attitude Angle (°)
5.880000,81417.446611,30.476136,71.751235
5.900000,81382.600281,30.399938,71.735610
5.920000,81347.639010,30.318468,71.715832
5.940000,81312.563107,30.231648,71.691910
5.960000,81277.372901,30.140208,71.664338
5.980000,81242.068736,30.046520,71.633972
6.000000,81206.650970,29.951165,71.601933
6.020000,81171.119959,29.855797,71.569467
6.040000,81135.476073,29.749744,71.537826
6.060000,81099.719702,29.646335,71.508105
6.080000,81063.851239,29.545547,71.481137
6.100000,81027.871063,29.447906,71.457406
6.120000,80991.779546,29.354670,71.437013
6.140000,80955.577038,29.265409,71.419681
6.160000,80919.263878,29.180175,71.404803
6.180000,80882.840410,29.065840,71.391522
6.200000,80846.307053,28.951967,71.378851
6.220000,80809.664230,28.837137,71.365783
6.240000,80772.912375,28.720165,71.351421
6.260000,80736.051931,28.600034,71.335059
6.280000,80699.083354,28.476206,71.316273
6.300000,80662.007110,28.346391,71.294959
6.320000,80624.823641,28.284633,71.271306
6.340000,80587.533235,28.220145,71.245799
6.360000,80550.136136,28.154012,71.219150
6.380000,80512.632584,28.087401,71.192103
6.400000,80475.022831,28.020479,71.165435
6.420000,80437.307135,27.953860,71.139897
6.440000,80399.485745,27.890216,71.116026
6.460000,80361.558914,27.813020,71.094124
6.480000,80323.526921,27.738767,71.074234
6.500000,80285.390048,27.667102,71.056146
6.520000,80247.148567,27.597278,71.039462
6.540000,80208.802740,27.528476,71.023602
6.560000,80170.352830,27.459654,71.007928
6.580000,80131.799096,27.391005,70.991818
6.600000,80093.141823,27.281968,70.974741
6.620000,80054.381399,27.171297,70.956330
6.640000,80015.518242,27.059784,70.936415
6.660000,79978.169348,26.941409,70.915028
6.680000,79941.795520,26.816708,70.892720
6.700000,79905.327291,26.692735,70.870700
6.720000,79868.765094,26.571017,70.850109
6.740000,79832.109354,26.460095,70.831840
6.760000,79795.360466,26.352895,70.816422
6.780000,79758.518807,26.250450,70.803973
6.800000,79721.584737,26.152287,70.794204
6.820000,79684.558603,26.057285,70.786485
6.840000,79647.440740,25.963837,70.779946
6.860000,79610.231476,25.870044,70.773604
6.880000,79572.931139,25.782045,70.766516
6.900000,79535.540042,25.691160,70.757899
6.920000,79498.058507,25.596554,70.747239
6.940000,79460.486865,25.497427,70.734340
6.960000,79422.825467,25.394588,70.719342
6.980000,79385.074673,25.290712,70.702672
7.000000,79347.234849,25.187175,70.684979
7.020000,79309.306393,25.045814,70.667050
7.040000,79271.289768,24.905595,70.649608
7.060000,79233.185465,24.767530,70.633282
7.080000,79194.993962,24.631619,70.618495
7.100000,79156.715751,24.497531,70.605488
7.120000,79118.351302,24.365449,70.594172
7.140000,79079.901078,24.236670,70.584232
7.160000,79041.365551,24.080739,70.575170
7.180000,79002.745251,23.925136,70.566396
7.200000,78964.040727,23.768568,70.557319
7.220000,78925.252533,23.609893,70.547430
7.240000,78886.381226,23.448928,70.536381
7.260000,78847.427373,23.285470,70.524026
7.280000,78808.391547,23.124887,70.510427
7.300000,78769.274436,22.799203,70.495834
7.320000,78730.077048,22.472727,70.480637
7.340000,78690.800546,22.145564,70.465299
7.360000,78651.446086,21.818367,70.450274
7.380000,78612.014818,21.492754,70.435948
7.400000,78572.507889,21.169432,70.422563
7.420000,78532.926436,20.856782,70.410236
7.440000,78493.271732,20.280550,70.398880
7.460000,78453.545654,19.706036,70.388274
7.480000,78413.750204,19.131074,70.378099
7.500000,78373.887407,18.556638,70.367990
7.520000,78333.959286,17.983210,70.357601
7.540000,78293.967858,17.408974,70.346654
7.560000,78253.915152,16.785656,70.334983
7.580000,78213.803449,15.871991,70.322549
7.600000,78173.635869,14.896660,70.309443
7.620000,78133.415851,13.919896,70.295857
7.640000,78093.146832,12.943365,70.282051
7.660000,78052.832248,11.967575,70.268304
7.680000,78012.475534,10.993099,70.254865
7.700000,77972.080127,10.010079,70.241917
7.720000,77931.649244,9.324046,70.229547
7.740000,77891.185576,8.639605,70.217771
7.760000,77850.691493,7.956064,70.206472
7.780000,77810.169402,7.273707,70.195473
7.800000,77769.621706,6.591981,70.184574
7.820000,77729.050804,5.910526,70.173561
7.840000,77688.459096,5.221265,70.162253
7.860000,77647.848850,4.776997,70.150541
7.880000,77607.221803,4.332197,70.138378
7.900000,77566.579505,3.886974,70.125799
7.920000,77525.923523,3.441639,70.112899
7.940000,77485.255426,2.996402,70.099831
7.960000,77444.576781,2.551705,70.086753
7.980000,77403.889153,2.106877,70.073817
8.000000,77363.194087,1.691126,70.061131
8.020000,77322.493072,1.276467,70.048769
8.040000,77281.787563,0.862875,70.036736
8.060000,77241.079016,0.450242,70.024973
8.080000,77200.368884,0.038363,70.013406
8.100000,77159.658616,-0.372998,70.001906
8.120000,77118.949664,-0.791275,69.990347
8.140000,77078.243409,-1.090464,69.978629
8.160000,77037.541005,-1.393569,69.966678
8.180000,76996.843506,-1.696848,69.954458
8.200000,76956.151981,-2.000231,69.941989
8.220000,76915.467618,-2.303479,69.929320
8.240000,76874.791594,-2.606657,69.916533
8.260000,76834.124744,-2.913633,69.903715
8.280000,76793.468051,-3.087380,69.890948
8.300000,76752.822224,-3.260850,69.878305
8.320000,76712.187876,-3.433709,69.865824
8.340000,76671.565614,-3.605955,69.853525
8.360000,76630.956046,-3.777656,69.841383
8.380000,76590.359777,-3.948946,69.829344
8.400000,76549.777409,-4.121185,69.817353
8.420000,76509.209523,-4.254393,69.805334
8.440000,76468.656617,-4.387615,69.793229
8.460000,76428.119156,-4.520951,69.780987
8.480000,76387.597610,-4.654405,69.768587
8.500000,76347.092457,-4.787981,69.756039
8.520000,76306.604156,-4.921611,69.743359
8.540000,76266.133175,-5.055189,69.730588
8.560000,76225.679991,-5.189521,69.717774
8.580000,76185.245075,-5.323632,69.704962
8.600000,76144.828899,-5.457428,69.692211
8.620000,76104.431935,-5.590866,69.679541
8.640000,76064.054652,-5.723939,69.666961
8.660000,76023.697518,-5.856666,69.654465
8.680000,75983.361002,-5.990218,69.642025
8.700000,75943.045551,-6.087746,69.629618
8.720000,75902.751532,-6.185175,69.617200
8.740000,75862.479286,-6.282570,69.604734
8.760000,75822.229157,-6.379980,69.592188
8.780000,75782.001487,-6.477440,69.579549
8.800000,75741.796619,-6.574944,69.566810
8.820000,75701.614898,-6.672666,69.553983
8.840000,75661.456662,-6.764101,69.541086
8.860000,75621.322238,-6.855463,69.528145
8.880000,75581.211946,-6.946697,69.515188
8.900000,75541.126110,-7.037761,69.502241
8.920000,75501.065048,-7.128603,69.489324
8.940000,75461.029080,-7.219317,69.476442
8.960000,75421.018576,-377.581166,69.463766
8.980000,75381.034386,-7.446712,69.451069
9.000000,75341.076373,-7.584652,69.438278
9.020000,75301.145061,-7.722420,69.425480
9.040000,75261.240934,-7.860042,69.412655
9.060000,75221.364477,-7.997658,69.399782
9.080000,75181.516173,-8.135232,69.386851
9.100000,75141.696509,-8.274467,69.373854
9.120000,75101.905932,-8.357552,69.360790
9.140000,75062.144783,-8.440605,69.347671
9.160000,75022.413348,-8.523601,69.334510
9.180000,74982.711917,-8.606514,69.321316
9.200000,74943.040784,-8.689312,69.308108
9.220000,74903.400240,-8.771979,69.294903
9.240000,74863.790576,-8.853871,69.281701
9.260000,74824.212095,-8.955792,69.268504
9.280000,74784.665139,-9.057533,69.255325
9.300000,74745.150068,-9.159107,69.242148
9.320000,74705.667240,-9.260536,69.228965
9.340000,74666.217011,-9.361841,69.215762
9.360000,74626.799739,-9.463043,69.202530
9.380000,74587.415779,-9.565035,69.189257
9.400000,74548.065473,-9.639187,69.175937
9.420000,74508.749091,-9.712639,69.162565
9.440000,74469.466896,-9.785893,69.149146
9.460000,74430.219152,-9.859093,69.135686
9.480000,74391.006114,-9.932228,69.122186
9.500000,74351.828040,-10.005278,69.108664
9.520000,74312.685188,-10.077338,69.095123
9.540000,74273.577833,-10.177497,69.081570
9.560000,74234.506313,-10.277497,69.068008
9.580000,74195.470972,-10.377344,69.054440
9.600000,74156.472163,-10.477041,69.040865
9.620000,74117.510235,-10.576590,69.027278
9.640000,74078.585541,-10.676010,69.013673
9.660000,74039.698428,-10.775491,69.000043
9.680000,74000.849245,-10.869045,68.986384
9.700000,73962.038323,-10.962508,68.972688
9.720000,73923.265992,-11.055887,68.958953
9.740000,73884.532581,-11.149181,68.945177
9.760000,73845.838418,-11.242391,68.931361
9.780000,73807.183832,-11.335511,68.917507
9.800000,73768.569150,-11.430325,68.903619
9.820000,73729.994667,-11.468209,68.889701
9.840000,73691.460548,-11.506059,68.875757
9.860000,73652.966934,-11.543868,68.861792
9.880000,73614.513957,-11.581638,68.847808
9.900000,73576.101751,-11.619363,68.833806
9.920000,73537.730448,-11.657050,68.819784
9.940000,73499.400181,-11.693781,68.805742
9.960000,73461.111101,-11.759557,68.791676
9.980000,73422.863417,-11.825268,68.777583
10.000000,73384.657362,-11.890919,68.763459
10.020000,73346.493166,-11.956517,68.749302
10.040000,73308.371061,-12.022062,68.735108
10.060000,73270.291276,-12.087560,68.720878
10.080000,73232.254044,-12.154164,68.706610
10.100000,73194.259575,-12.184049,68.692306
10.120000,73156.307997,-12.213930,68.677967
10.140000,73118.399416,-12.243802,68.663596
10.160000,73080.533936,-12.273665,68.649195
10.180000,73042.711664,-12.303510,68.634766
10.200000,73004.932703,-12.333338,68.620310
10.220000,72967.197159,-12.364164,68.605828
10.240000,72929.505123,-12.362785,68.591321
10.260000,72891.856609,-12.361435,68.576788
10.280000,72854.251610,-12.360116,68.562226
10.300000,72816.690123,-12.358829,68.547635
10.320000,72779.172142,-12.357565,68.533013
10.340000,72741.697664,-12.356270,68.518358
10.360000,72704.266683,-12.354158,68.503668
10.380000,72666.879208,-12.379344,68.488942
10.400000,72629.535313,-12.405273,68.474180
10.420000,72592.235089,-12.431436,68.459384
10.440000,72554.978626,-12.457596,68.444552
10.460000,72517.766017,-12.483767,68.429687
10.480000,72480.597355,-12.509956,68.414788
10.500000,72443.472732,-12.535996,68.399857
10.520000,72406.392243,-12.566494,68.384894
