Altitude (m),Velocidade (m/s)
1010,242.51446169352047
1011,242.44115714075735
1012,242.36784685588646
1013,242.29453657101556
1014,242.22122073047217
1015,242.14790210512828
1016,242.0745810354507
1017,242.00125240452482
1018,241.92792377359893
1019,241.8545845724156
1020,241.78124311755374
1021,241.70789526018646
1022,241.6345380354514
1023,241.56118081071637
1024,241.48780801880304
1025,241.41443506179522
1026,241.34105378089615
1027,241.2676663422164
1028,241.19427676265573
1029,241.1208760956786
1030,241.04747542870143
1031,240.97406637490553
1032,240.9006545353948
1033,240.82724003230092
1034,240.75382038757846
1035,240.68040074285597
1036,240.60697576912153
1037,240.53355041648433
1038,240.4601240388768
1039,240.38669674407367
1040,240.31326952136604
1041,240.23984280967107
1042,240.16641609797608
1043,240.09299285630834
1044,240.01957095541616
1045,239.9461515552466
1046,239.87273745154465
1047,239.7993233478427
1048,239.72591836595558
1049,239.65251415679234
1050,239.57911693348592
1051,239.50572603457024
1052,239.43233714111443
1053,239.3589617222787
1054,239.285586303443
1055,239.21222357090332
1056,239.13886538862522
1057,239.0655134469465
1058,238.99217339403504
1059,238.9188333411236
1060,238.8455122692914
1061,238.77219210862341
1062,238.69888325658602
1063,238.62558307879644
1064,238.55228657167035
1065,238.47900685614104
1066,238.40572714061173
1067,238.33246278135772
1068,238.2592023914514
1069,238.18594980693607
1070,238.11270838180877
1071,238.03946748187784
1072,237.96624339912253
1073,237.8930193163672
1074,237.81980577461138
1075,237.74659789036187
1076,237.6733940975323
1077,237.6002012037382
1078,237.5270083099441
1079,237.45382780243278
1080,237.3806487191898
1081,237.30747886145093
1082,237.23431743315467
1083,237.16115980395165
1084,237.08802371037524
1085,237.01488761679883
1086,236.94178712368512
1087,236.86869672433446
1088,236.79562668273047
1089,236.72258593872158
1090,236.64954697319018
1091,236.57654798728223
1092,236.50354900137424
1093,236.43057349771334
1094,236.35760920128752
1095,236.28465301504394
1096,236.2117146305714
1097,236.1387762460989
1098,236.065856148234
1099,235.99293699709128
1100,235.92002399689542
1101,235.84711526603516
1102,235.7742071903068
1103,235.7013012892066
1104,235.6283953881064
1105,235.55548528229002
1106,235.48257457284896
1107,235.40965722108484
1108,235.33673371653842
1109,235.26380703553338
1110,235.190864339391
1111,235.1179216432486
1112,235.0449567574311
1113,234.9719867882457
1114,234.89900060960642
1115,234.8259956629837
1116,234.75298551759983
1117,234.6799353466618
1118,234.6068851757238
1119,234.53379494748495
1120,234.46069263204666
1121,234.387566245893
1122,234.31440704666866
1123,234.2412431635137
1124,234.16802528900493
1125,234.09480741449616
1126,234.0215467694751
1127,233.94827095714302
1128,233.87497323841143
1129,233.8016424284028
1130,233.7283086134682
1131,233.65492782963616
1132,233.58154704580414
1133,233.50813407415126
1134,233.4347088111151
1135,233.3612685826779
1136,233.28780483877614
1137,233.21433941777408
1138,233.14084565220625
1139,233.0673518866384
1140,232.9938435591207
1141,232.92032969524192
1142,232.8468114450237
1143,232.77328647426674
1144,232.69976147830812
1145,232.62623613150726
1146,232.55271078470642
1147,232.47919192204284
1148,232.40567532780807
1149,232.3321656226038
1150,232.25866557481615
1151,232.18516780914734
1152,232.1116921505281
1153,232.0382164919089
1154,231.96476605444684
1155,231.89132304444797
1156,231.81789528470298
1157,231.7444859293227
1158,231.67108055945053
1159,231.5977006219732
1160,231.52432068449585
1161,231.45096071951144
1162,231.3776051530285
1163,231.30426018639824
1164,231.23092559904606
1165,231.15759540590858
1166,231.08428362290044
1167,231.01097183989233
1168,230.93768101550725
1169,230.8643929999069
1170,230.79112036992657
