Altitude (m),Velocidade (m/s)
1171,230.7178592219668
1172,230.644605003957
1173,230.57136999097233
1174,230.49813497798763
1175,230.4249259379404
1176,230.35171799803481
1177,230.27852672721508
1178,230.20534422635293
1179,230.13217012341605
1180,230.05901142390312
1181,229.98585381085803
1182,229.9127159664558
1183,229.83957812205358
1184,229.76645471821536
1185,229.6933360501703
1186,229.62022437555538
1187,229.54712105525513
1188,229.47401964094396
1189,229.40092823538393
1190,229.32783682982392
1191,229.25475357322094
1192,229.18167157807449
1193,229.10859248460275
1194,229.0355155480934
1195,228.96243907416354
1196,228.88936377255737
1197,228.81628847095124
1198,228.74321175490903
1199,228.6701350302502
1200,228.5970545839314
1201,228.52397259244714
1202,228.45088727465276
1203,228.3777973816501
1204,228.30470598887575
1205,228.23160514775537
1206,228.158504306635
1207,228.08539224836528
1208,228.0122782827985
1209,227.93915527949852
1210,227.86602556960224
1211,227.79289081880734
1212,227.7197440241886
1213,227.64659691212697
1214,227.5734322253368
1215,227.50026753854664
1216,227.42708887806765
1217,227.3539053612236
1218,227.28071303194932
1219,227.20751068967152
1220,227.13430474860778
1221,227.06108402595285
1222,226.98786330329796
1223,226.91462680435154
1224,226.84138902882734
1225,226.76814062649387
1226,226.69488665519458
1227,226.62162708907562
1228,226.5483587284001
1229,226.4750889234867
1230,226.40180883486528
1231,226.32852874624385
1232,226.25524084549141
1233,226.18195166382964
1234,226.10865865089275
1235,226.0353630493189
1236,225.96206605261975
1237,225.88876629993726
1238,225.81546626359182
1239,225.74216282917394
1240,225.66885939475605
1241,225.5955551449819
1242,225.52225071581705
1243,225.4489467255922
1244,225.37564307478362
1245,225.30234052115253
1246,225.22904041127097
1247,225.15574060898138
1248,225.0824458549522
1249,225.00915110092302
1250,224.93586282548281
1251,224.86257610286845
1252,224.78929466333508
1253,224.71601741657227
1254,224.64274339836416
1255,224.56947656451374
1256,224.49621045970142
1257,224.42295497787214
1258,224.34969949604286
1259,224.2764530248093
1260,224.2032085310558
1261,224.12997041098362
1262,224.05673695409885
1263,223.98350692792175
1264,223.9102836636395
1265,223.83706122839817
1266,223.7638464822144
1267,223.6906317360306
1268,223.61742355464818
1269,223.5442164445826
1270,223.47101247025824
1271,223.39781038768294
1272,223.32460956795745
1273,223.25141072869778
1274,223.1782121379663
1275,223.10501488515476
1276,223.03181763234323
1277,222.95861929832733
1278,222.88542087737363
1279,222.81221985871238
1280,222.73901770611187
1281,222.66581315688177
1282,222.59260588668963
1283,222.51939705701992
1284,222.44618334605917
1285,222.3729694997924
1286,222.29974808786247
1287,222.22652667593252
1288,222.15329913553222
1289,222.0800700113519
1290,222.00683542576098
1291,221.93359677595865
1292,221.86035477570297
1293,221.78710665235138
1294,221.71385724685237
1295,221.64059966911233
1296,221.56734209137232
1297,221.49407791603588
1298,221.42081316066034
1299,221.3475446384435
1300,221.27427453536563
1301,221.20100424480515
1302,221.12773376004753
1303,221.05446357583236
1304,220.98119416580312
1305,220.90792483079767
1306,220.83465649707264
1307,220.76138816334762
1308,220.68812042494505
1309,220.61485278234326
1310,220.5415850208318
1311,220.46831719659986
1312,220.39504929058867
1313,220.32178128446017
1314,220.24851281095383
1315,220.17524290584186
1316,220.10197289643932
1317,220.0287006350649
1318,219.9554283736905
1319,219.88215338104297
1320,219.80887788362045
1321,219.73559975019617
1322,219.66232016836184
1323,219.58903835908473
1324,219.5157538092388
1325,219.44246788563254
1326,219.36917790465884
1327,219.29588755006435
1328,219.22259125109866
1329,219.14929495213298
1330,219.07599246333848
1331,219.00268902449793
1332,218.92938041792985
1333,218.85606933842138
1334,218.7827536711591
1335,218.70943317813158
1336,218.63610944542106
1337,218.56277815255018
1338,218.48944568835597
1339,218.4161041383541
1340,218.34276258835223
1341,218.26940971808529
1342,218.19605599599097
1343,218.1226942912815
1344,218.04932988928903
1345,217.97595913054386
1346,217.9025835067985
1347,217.82920392744114
1348,217.75581808490537
1349,217.6824301964668
1350,217.60903457965406
1351,217.5356386407219
1352,217.46223330277897
1353,217.38882796483603
1354,217.31541505873298
1355,217.2420009057721
1356,217.16858103955894
1357,217.0951585529697
1358,217.02173179254657
1359,216.94830099391925
